geo;Geopolitical entity (reporting);TIME_PERIOD;OBS_VALUE
CZ;Czechia;2016;0.6
CZ;Czechia;2017;2.4
CZ;Czechia;2018;2.0
CZ;Czechia;2019;2.6
CZ;Czechia;2020;3.3
CZ;Czechia;2021;3.3
CZ;Czechia;2022;14.8
CZ;Czechia;2023;12.0
CZ;Czechia;2024;2.7
CZ;Czechia;2025;2.3
HU;Hungary;2016;0.4
HU;Hungary;2017;2.4
HU;Hungary;2018;2.9
HU;Hungary;2019;3.4
HU;Hungary;2020;3.4
HU;Hungary;2021;5.2
HU;Hungary;2022;15.3
HU;Hungary;2023;17.0
HU;Hungary;2024;3.7
HU;Hungary;2025;4.4
PL;Poland;2016;-0.2
PL;Poland;2017;1.6
PL;Poland;2018;1.2
PL;Poland;2019;2.1
PL;Poland;2020;3.7
PL;Poland;2021;5.2
PL;Poland;2022;13.2
PL;Poland;2023;10.9
PL;Poland;2024;3.7
PL;Poland;2025;3.3
SK;Slovakia;2016;-0.5
SK;Slovakia;2017;1.4
SK;Slovakia;2018;2.5
SK;Slovakia;2019;2.8
SK;Slovakia;2020;2.0
SK;Slovakia;2021;2.8
SK;Slovakia;2022;12.1
SK;Slovakia;2023;11.0
SK;Slovakia;2024;3.2
SK;Slovakia;2025;4.2
